,Interface,Access_VLAN,Active,Admin_Up,All_Prefixes,Allowed_VLANs,Auto_State_VLAN,Bandwidth,Blacklisted,Channel_Group,Channel_Group_Members,DHCP_Relay_Addresses,Declared_Names,Description,Encapsulation_VLAN,HSRP_Groups,HSRP_Version,Inactive_Reason,Incoming_Filter_Name,MLAG_ID,MTU,Native_VLAN,Outgoing_Filter_Name,PBR_Policy_Name,Primary_Address,Primary_Network,Proxy_ARP,Rip_Enabled,Rip_Passive,Spanning_Tree_Portfast,Speed,Switchport,Switchport_Mode,Switchport_Trunk_Encapsulation,VRF,VRRP_Groups,Zone_Name
0,core1[Ethernet1],,True,True,['10.0.0.1/30'],,True,1000000000.0,False,,[],[],['Ethernet1'],,,[],,,,,1500,,,,10.0.0.1/30,10.0.0.0/30,False,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
1,core1[Ethernet2],,True,True,['10.0.1.1/30'],,True,1000000000.0,False,,[],[],['Ethernet2'],,,[],,,,,1500,,,,10.0.1.1/30,10.0.1.0/30,False,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
2,core1[Ethernet3],1,True,True,[],,True,1000000000.0,False,,[],[],['Ethernet3'],,,[],,,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
3,core1[Ethernet4],1,True,True,[],,True,1000000000.0,False,,[],[],['Ethernet4'],,,[],,,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
4,core1[Management0],,False,True,['172.20.20.12/24'],,True,1000000000000.0,False,,[],[],['Management0'],,,[],,Ignored management interface,,,1500,,,,172.20.20.12/24,172.20.20.0/24,False,False,False,False,,False,NONE,DOT1Q,default,[],
5,core2[Ethernet1],,True,True,['10.1.0.1/30'],,True,1000000000.0,False,,[],[],['Ethernet1'],,,[],,,,,1500,,,,10.1.0.1/30,10.1.0.0/30,False,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
6,core2[Ethernet2],,True,True,['10.1.1.1/30'],,True,1000000000.0,False,,[],[],['Ethernet2'],,,[],,,,,1500,,,,10.1.1.1/30,10.1.1.0/30,False,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
7,core2[Ethernet3],1,True,True,[],,True,1000000000.0,False,,[],[],['Ethernet3'],,,[],,,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
8,core2[Ethernet4],1,True,True,[],,True,1000000000.0,False,,[],[],['Ethernet4'],,,[],,,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
9,core2[Management0],,False,True,['172.20.20.13/24'],,True,1000000000000.0,False,,[],[],['Management0'],,,[],,Ignored management interface,,,1500,,,,172.20.20.13/24,172.20.20.0/24,False,False,False,False,,False,NONE,DOT1Q,default,[],
