,Node,VRF,Network,Next_Hop,Next_Hop_IP,Next_Hop_Interface,Protocol,Metric,Admin_Distance,Tag
0,core1,default,10.0.0.0/30,interface Ethernet1,AUTO/NONE(-1l),Ethernet1,connected,0,0,
1,core1,default,10.0.1.0/30,interface Ethernet2,AUTO/NONE(-1l),Ethernet2,connected,0,0,
2,core1,default,10.0.100.1/32,interface Ethernet1 ip 10.0.0.2,10.0.0.2,Ethernet1,ospf,2,110,
3,core1,default,10.0.200.1/32,interface Ethernet2 ip 10.0.1.2,10.0.1.2,Ethernet2,ospf,2,110,
4,core1,default,10.1.0.0/30,interface Ethernet1 ip 10.0.0.2,10.0.0.2,Ethernet1,ospf,2,110,
5,core1,default,10.1.1.0/30,interface Ethernet2 ip 10.0.1.2,10.0.1.2,Ethernet2,ospf,2,110,
6,core2,default,10.0.0.0/30,interface Ethernet1 ip 10.1.0.2,10.1.0.2,Ethernet1,ospf,2,110,
7,core2,default,10.0.1.0/30,interface Ethernet2 ip 10.1.1.2,10.1.1.2,Ethernet2,ospf,2,110,
8,core2,default,10.0.100.1/32,interface Ethernet1 ip 10.1.0.2,10.1.0.2,Ethernet1,ospf,2,110,
9,core2,default,10.0.200.1/32,interface Ethernet2 ip 10.1.1.2,10.1.1.2,Ethernet2,ospf,2,110,
10,core2,default,10.1.0.0/30,interface Ethernet1,AUTO/NONE(-1l),Ethernet1,connected,0,0,
11,core2,default,10.1.1.0/30,interface Ethernet2,AUTO/NONE(-1l),Ethernet2,connected,0,0,
12,edge1,default,10.0.0.0/30,interface Ethernet1,AUTO/NONE(-1l),Ethernet1,connected,0,0,
13,edge1,default,10.0.1.0/30,interface Ethernet1 ip 10.0.0.1,10.0.0.1,Ethernet1,ospf,2,110,
14,edge1,default,10.0.100.1/32,interface Loopback0,AUTO/NONE(-1l),Loopback0,connected,0,0,
15,edge1,default,10.0.200.1/32,interface Ethernet1 ip 10.0.0.1,10.0.0.1,Ethernet1,ospf,3,110,
16,edge1,default,10.0.200.1/32,interface Ethernet2 ip 10.1.0.1,10.1.0.1,Ethernet2,ospf,3,110,
17,edge1,default,10.1.0.0/30,interface Ethernet2,AUTO/NONE(-1l),Ethernet2,connected,0,0,
18,edge1,default,10.1.1.0/30,interface Ethernet2 ip 10.1.0.1,10.1.0.1,Ethernet2,ospf,2,110,
19,edge1,default,11.0.0.1/32,interface Loopback100,AUTO/NONE(-1l),Loopback100,connected,0,0,
20,edge1,default,11.0.0.2/32,ip 10.0.200.1,10.0.200.1,dynamic,ibgp,0,200,
21,edge2,default,10.0.0.0/30,interface Ethernet1 ip 10.0.1.1,10.0.1.1,Ethernet1,ospf,2,110,
22,edge2,default,10.0.1.0/30,interface Ethernet1,AUTO/NONE(-1l),Ethernet1,connected,0,0,
23,edge2,default,10.0.100.1/32,interface Ethernet1 ip 10.0.1.1,10.0.1.1,Ethernet1,ospf,3,110,
24,edge2,default,10.0.100.1/32,interface Ethernet2 ip 10.1.1.1,10.1.1.1,Ethernet2,ospf,3,110,
25,edge2,default,10.0.200.1/32,interface Loopback0,AUTO/NONE(-1l),Loopback0,connected,0,0,
26,edge2,default,10.1.0.0/30,interface Ethernet2 ip 10.1.1.1,10.1.1.1,Ethernet2,ospf,2,110,
27,edge2,default,10.1.1.0/30,interface Ethernet2,AUTO/NONE(-1l),Ethernet2,connected,0,0,
28,edge2,default,11.0.0.1/32,ip 10.0.100.1,10.0.100.1,dynamic,ibgp,0,200,
29,edge2,default,11.0.0.2/32,interface Loopback100,AUTO/NONE(-1l),Loopback100,connected,0,0,
